name,rank,frequency
Hogan,546,61016
Kramer,547,60950
Lindsey,548,60657
Macias,549,60590
Yates,550,60581
Lang,551,59955
Shepherd,552,59896
Marsh,553,59877
Bautista,554,59869
Lam,555,59770
Norton,556,59666
Barrera,557,59196
Pratt,558,59174
Stokes,559,59097
Drake,560,59055
Owen,561,58962
Arias,562,58926
Petersen,563,58885
Cain,564,58521
Melendez,565,58520
Brock,566,58368
Trevino,566,58368
Burnett,568,58194
Mckenzie,569,58046
Morton,570,58028
Olsen,571,57626
Lamb,572,57573
Hess,573,57557
Ballard,574,57424
Patrick,575,57411
Lozano,576,57179
Shaffer,577,57111
Mora,578,57092
Nash,579,57028
Hoover,580,57000
Cochran,581,56354
Vang,582,56261
Roth,583,56238
Flowers,584,56061
Holloway,585,56001
Wilkins,586,55955
Zuniga,587,55865
Weiss,588,55845
Rangel,589,55758
Briggs,590,55710
Ho,591,55533
Nicholson,592,55506
Larsen,593,55235
Houston,594,55138
Meyers,595,55110
Greer,596,55088
Decker,597,55000
Bryan,598,54685
Roberson,599,54638
Summers,600,54528
Bass,601,54502
Bonilla,602,54461
Short,603,54312
Collier,604,54282
Valenzuela,605,54200
Roy,606,54089
Underwood,607,54083
Carson,608,54032
Morrow,609,54003
Whitaker,610,53950
Clayton,611,53875
Rocha,612,53864
Wilcox,613,53767
Carey,614,53736
Jefferson,615,53646
Davenport,616,53635
Velez,617,53491
Monroe,618,53483
Copeland,619,53472
Huff,620,53338
Sosa,621,53289
Conley,622,53274
Poole,623,53246
Choi,624,52885
Cameron,625,52870
Massey,626,52666
Rosario,627,52418
Hood,628,52395
Acevedo,629,52393
Pittman,630,52342
Benitez,631,52211
Singleton,632,52173
Anthony,633,52156
Meza,634,52047
Wall,635,52042
Bradford,636,51912
Skinner,637,51876
Combs,638,51814
Randall,639,51764
Galvan,640,51675
Kirby,641,51620
Atkinson,642,51453
Bridges,643,51385
Boone,644,51373
Mathis,645,51361
Wilkinson,646,51341
Vincent,647,51329
Gates,648,51298
Kirk,649,51067
Richard,650,51000
Christian,651,50934
Bruce,652,50879
Villa,653,50813
Zavala,654,50789
Hodge,655,50700
York,656,50675
Bond,657,50649
Farrell,658,50453
Tapia,659,50410
Sweeney,660,50370
Abbott,661,50148
Wyatt,662,50142
Rubio,663,50103
Phelps,664,50090
Allison,665,49879
Arroyo,666,49828
Foley,667,49766
Cortes,668,49681
Chase,669,49533
Dickerson,670,49519
Mathews,671,49484
Heath,672,49412
Oneill,673,49365
Atkins,674,49353
Cisneros,675,49338
Shields,676,49337
Beltran,677,49320
Horn,678,49305
Barron,679,49096
Dalton,680,48924
Savage,681,48874
Callahan,682,48861
Ponce,683,48830
Kane,684,48826
Harrell,685,48672
Glenn,686,48549
Guevara,687,48503
Wiggins,688,48358
Garrison,689,48292
Boyer,690,48281
Cantu,691,48115
Huffman,692,48093
Phan,693,48064
Hancock,694,47984
Ware,695,47874
Rich,696,47823
Brennan,697,47806
Dillon,698,47767
Cline,699,47748
Arellano,700,47631
Hensley,701,47615
Golden,702,47533
Koch,703,47453
Mcdowell,704,47414
Montes,705,47397
Parrish,706,47354
Marks,707,47331
Barry,708,47279
Grimes,709,47264
Clay,710,47234
Villegas,711,47223
Baxter,712,47095
Pitts,713,47055
Booth,714,47016
Mata,715,47012
Wiley,716,46986
Lu,717,46937
Sawyer,718,46929
Melton,719,46858
Berg,720,46800
Gilmore,721,46765
Humphrey,722,46668
Stephenson,723,46615
Prince,724,46551
Solomon,725,46541
Dejesus,726,46493
Sharma,727,46467
Tanner,728,46437
Snow,729,46310
Hobbs,730,46281
Dyer,731,46255
David,732,45954
Oneal,733,45929
Mcclain,734,45911
Johns,735,45892
Moon,736,45833
Hutchinson,737,45820
Beard,738,45797
Walter,739,45791
Russo,740,45790
Henson,741,45780
Mcclure,742,45586
Murillo,743,45567
Mosley,744,45562
Wilkerson,745,45488
Beasley,746,45439
Huerta,747,45314
Truong,748,45309
Keith,749,45259
Xiong,750,45183
Vo,751,45170
Macdonald,752,45126
Preston,753,45056
Vance,754,44920
Davila,755,44850
Eaton,756,44833
English,757,44777
Hurst,758,44738
Blackwell,759,44711
Palacios,760,44626
Small,761,44613
Kemp,762,44426
Xu,763,44406
Stafford,764,44382
Cordova,765,44178
Chung,766,44132
Shannon,767,44030
Marin,768,43997
Mccullough,769,43929
Nolan,770,43879
Salgado,771,43867
Merritt,772,43857
Vu,773,43790
Strong,774,43757
Woodard,775,43731
Winters,776,43495
Barajas,777,43327
Kline,778,43180
Cuevas,779,43163
Kerr,780,43118
Zheng,781,43117
Knox,782,43026
Duarte,783,42935
Odonnell,784,42865
Barr,785,42818
Rosas,786,42815
Jacobson,787,42784
Meadows,788,42694
Lester,789,42692
Bullock,790,42676
Gaines,791,42617
Mcintyre,792,42592
Conway,793,42563
Tang,794,42548
Orr,795,42533
Nielsen,796,42520
Leach,797,42194
Roach,798,42179
Kent,799,42163
Whitehead,800,42089
Pruitt,801,42087
Mckee,802,42029
Bravo,803,41827
Dorsey,804,41699
Hull,805,41685
Berger,806,41655
Bartlett,807,41652
Sloan,808,41599
Mclean,809,41538
Esparza,810,41465
Mccall,811,41386
Stein,812,41382
Leblanc,813,41367
Browning,814,41347
Calhoun,814,41347
Hendricks,816,41308
Durham,817,41287
Hanna,818,41220
Ventura,819,41204
Stout,820,41195
Gentry,821,41191
Buck,822,41103
Middleton,822,41103
Blankenship,824,41049
Mcintosh,825,40973
Quintero,826,40966
Mohamed,827,40957
Bradshaw,828,40813
Ellison,829,40780
Frost,830,40771
Sexton,831,40756
Lowery,832,40645
Livingston,833,40605
Sellers,834,40541
Portillo,835,40506
Gillespie,836,40456
Felix,837,40449
Noble,838,40384
Lim,839,40278
Buckley,840,40231
Hardin,841,40223
House,842,40157
Glass,843,40133
Enriquez,844,40048
Spears,845,40009
Howe,846,39912
Blanco,847,39888
Knapp,847,39888
Medrano,849,39831
